ds,y
2001-10-30,17.83
2001-10-31,18.26
2001-11-01,18.38
2001-11-02,18.7
2001-11-05,18.7
2001-11-06,19.2
2001-11-07,18.86
2001-11-08,18.62
2001-11-09,18.31
2001-11-12,18.68
2001-11-13,18.64
2001-11-14,20.03
2001-11-15,20.38
2001-11-16,20.4
2001-11-19,20.71
2001-11-20,21.27
2001-11-21,21.37
2001-11-23,21.44
2001-11-26,21.17
2001-11-27,21.19
2001-11-28,21.34
2001-11-29,21.8
2001-11-30,22.17
2001-12-03,22.36
2001-12-04,22.45
2001-12-05,21.3
2001-12-06,21.14
2001-12-07,21.19
2001-12-10,21.04
2001-12-11,21.01
2001-12-12,20.87
2001-12-13,20.97
2001-12-14,20.93
2001-12-17,21.47
2001-12-18,21.49
2001-12-19,20.93
2001-12-20,20.45
2001-12-21,19.95
2001-12-24,19.88
2001-12-26,20.16
2001-12-27,20.45
2001-12-28,21.14
2001-12-31,21.58
2002-01-02,21.27
2002-01-03,21.12
2002-01-04,20.87
2002-01-07,20.5
2002-01-08,20.66
2002-01-09,20.75
2002-01-10,21.84
2002-01-11,22.45
2002-01-14,22.63
2002-01-15,22.1
2002-01-16,22.23
2002-01-17,21.93
2002-01-18,22.23
2002-01-22,22.56
2002-01-23,22.78
2002-01-24,23.02
2002-01-25,23.49
2002-01-28,23.43
2002-01-29,23.19
2002-01-30,22.9
2002-01-31,23.19
2002-02-01,23.17
2002-02-04,22.76
2002-02-05,23.65
2002-02-06,24.63
2002-02-07,25.11
2002-02-08,25.15
2002-02-11,25.09
2002-02-12,24.81
2002-02-13,24.44
2002-02-14,24.59
2002-02-15,24.46
2002-02-19,23.7
2002-02-20,23.54
2002-02-21,24.22
2002-02-22,24.57
2002-02-25,24.87
2002-02-26,25.39
2002-02-27,25.28
2002-02-28,25.33
2002-03-01,25.31
2002-03-04,24.2
2002-03-05,23.83
2002-03-06,24.57
2002-03-07,24.53
2002-03-08,24.52
2002-03-11,24.68
2002-03-12,24.63
2002-03-13,24.65
2002-03-14,24.63
2002-03-15,24.81
2002-03-18,25.42
2002-03-19,24.59
2002-03-20,24.59
2002-03-21,24.98
2002-03-22,24.76
2002-03-25,24.68
2002-03-26,24.41
2002-03-27,25.29
2002-03-28,25.1
2002-04-01,25.39
2002-04-02,26.16
2002-04-03,25.87
2002-04-04,26.48
2002-04-05,26.99
2002-04-08,26.75
2002-04-09,26.53
2002-04-10,26.68
2002-04-11,26.52
2002-04-12,26.44
2002-04-15,26.57
2002-04-16,27.12
2002-04-17,28.18
2002-04-18,29.75
2002-04-19,29.8
2002-04-22,29.36
2002-04-23,28.75
2002-04-24,29.54
2002-04-25,31.04
2002-04-26,30.82
2002-04-29,29.06
2002-04-30,29.73
2002-05-01,30.85
2002-05-02,31.0
2002-05-03,31.33
2002-05-06,30.3
2002-05-07,29.47
2002-05-08,29.86
2002-05-09,29.71
2002-05-10,29.72
2002-05-13,28.77
2002-05-14,28.32
2002-05-15,28.08
2002-05-16,29.36
2002-05-17,30.47
2002-05-20,28.99
2002-05-21,29.36
2002-05-22,28.64
2002-05-23,28.72
2002-05-24,29.28
2002-05-28,28.99
2002-05-29,29.56
2002-05-30,30.84
2002-05-31,30.91
2002-06-03,30.63
2002-06-04,30.21
2002-06-05,31.39
2002-06-06,30.71
2002-06-07,31.35
2002-06-10,31.69
2002-06-11,31.93
2002-06-12,32.52
2002-06-13,31.56
2002-06-14,31.12
2002-06-17,32.04
2002-06-18,32.15
2002-06-19,32.01
2002-06-20,31.62
2002-06-21,31.61
2002-06-24,30.17
2002-06-25,28.93
2002-06-26,28.77
2002-06-27,29.17
2002-06-28,29.42
2002-07-01,28.01
2002-07-02,27.79
2002-07-03,28.23
2002-07-05,28.73
2002-07-08,29.08
2002-07-09,27.7
2002-07-10,26.4
2002-07-11,27.05
2002-07-12,28.05
2002-07-15,27.68
2002-07-16,26.94
2002-07-17,28.27
2002-07-18,28.56
2002-07-19,27.38
2002-07-22,25.55
2002-07-23,25.18
2002-07-24,27.47
2002-07-25,28.18
2002-07-26,27.9
2002-07-29,29.91
2002-07-30,28.73
2002-07-31,29.59
2002-08-01,30.03
2002-08-02,29.08
2002-08-05,26.38
2002-08-06,26.81
2002-08-07,26.86
2002-08-08,27.99
2002-08-09,27.62
2002-08-12,26.7
2002-08-13,26.73
2002-08-14,26.98
2002-08-15,26.0
2002-08-16,25.59
2002-08-19,27.03
2002-08-20,27.26
2002-08-21,26.86
2002-08-22,28.27
2002-08-23,28.12
2002-08-26,28.07
2002-08-27,27.17
2002-08-28,26.68
2002-08-29,27.86
2002-08-30,27.51
2002-09-03,26.25
2002-09-04,26.55
2002-09-05,27.03
2002-09-06,27.47
2002-09-09,27.86
2002-09-10,28.11
2002-09-11,28.52
2002-09-12,28.67
2002-09-13,29.65
2002-09-16,30.04
2002-09-17,30.1
2002-09-18,30.19
2002-09-19,28.64
2002-09-20,28.47
2002-09-23,28.27
2002-09-24,27.64
2002-09-25,28.73
2002-09-26,28.18
2002-09-27,28.01
2002-09-30,28.34
2002-10-01,28.04
2002-10-02,28.34
2002-10-03,29.1
2002-10-04,29.07
2002-10-07,28.0
2002-10-08,28.25
2002-10-09,28.49
2002-10-10,28.97
2002-10-11,29.56
2002-10-14,29.94
2002-10-15,31.21
2002-10-16,32.04
2002-10-17,30.47
2002-10-18,30.76
2002-10-21,31.46
2002-10-22,31.07
2002-10-23,31.45
2002-10-24,30.19
2002-10-25,30.12
2002-10-28,29.39
2002-10-29,28.59
2002-10-30,28.72
2002-10-31,27.47
2002-11-01,27.66
2002-11-04,27.9
2002-11-05,26.96
2002-11-06,27.95
2002-11-07,28.62
2002-11-08,26.87
2002-11-11,26.72
2002-11-12,27.07
2002-11-13,27.44
2002-11-14,27.61
2002-11-15,28.2
2002-11-18,28.08
2002-11-19,27.25
2002-11-20,27.14
2002-11-21,25.61
2002-11-22,25.91
2002-11-25,23.96
2002-11-26,24.68
2002-11-27,25.38
2002-11-29,25.83
2002-12-02,24.9
2002-12-03,25.8
2002-12-04,27.03
2002-12-05,26.81
2002-12-06,26.91
2002-12-09,26.88
2002-12-10,27.4
2002-12-11,27.71
2002-12-12,27.6
2002-12-13,27.22
2002-12-16,27.64
2002-12-17,27.4
2002-12-18,26.9
2002-12-19,26.49
2002-12-20,27.01
2002-12-23,27.56
2002-12-24,27.51
2002-12-26,27.27
2002-12-27,26.75
2002-12-30,26.77
2002-12-31,27.42
2003-01-02,27.62
2003-01-03,27.29
2003-01-06,27.13
2003-01-07,26.68
2003-01-08,26.66
2003-01-09,26.64
2003-01-10,26.31
2003-01-13,26.44
2003-01-14,25.98
2003-01-15,25.92
2003-01-16,26.04
2003-01-17,26.58
2003-01-21,26.29
2003-01-22,26.59
2003-01-23,27.25
2003-01-24,26.7
2003-01-27,26.2
2003-01-28,26.48
2003-01-29,26.84
2003-01-30,26.7
2003-01-31,27.06
2003-02-03,26.05
2003-02-04,25.32
2003-02-05,25.39
2003-02-06,25.29
2003-02-07,25.21
2003-02-10,25.24
2003-02-11,24.48
2003-02-12,23.63
2003-02-13,23.98
2003-02-14,23.71
2003-02-18,24.46
2003-02-19,24.68
2003-02-20,24.47
2003-02-21,25.25
2003-02-24,24.43
2003-02-25,24.86
2003-02-26,25.44
2003-02-27,25.7
2003-02-28,25.99
2003-03-03,25.73
2003-03-04,25.33
2003-03-05,25.97
2003-03-06,26.12
2003-03-07,26.38
2003-03-10,25.7
2003-03-11,25.58
2003-03-12,25.46
2003-03-13,26.37
2003-03-14,25.72
2003-03-17,26.72
2003-03-18,26.97
2003-03-19,27.33
2003-03-20,27.48
2003-03-21,27.24
2003-03-24,27.16
2003-03-25,27.6
2003-03-26,27.42
2003-03-27,27.54
2003-03-28,28.32
2003-03-31,28.88
2003-04-01,29.19
2003-04-02,29.18
2003-04-03,29.46
2003-04-04,28.9
2003-04-07,29.0
2003-04-08,28.8
2003-04-09,28.51
2003-04-10,28.54
2003-04-11,29.1
2003-04-14,29.68
2003-04-15,29.55
2003-04-16,28.22
2003-04-17,29.18
2003-04-21,28.78
2003-04-22,29.73
2003-04-23,29.61
2003-04-24,29.38
2003-04-25,29.34
2003-04-28,29.56
2003-04-29,29.3
2003-04-30,29.92
2003-05-01,30.36
2003-05-02,30.4
2003-05-05,30.95
2003-05-06,31.44
2003-05-07,31.03
2003-05-08,30.75
2003-05-09,30.82
2003-05-12,31.26
2003-05-13,30.94
2003-05-14,30.98
2003-05-15,31.25
2003-05-16,32.09
2003-05-19,31.78
2003-05-20,32.54
2003-05-21,32.71
2003-05-22,32.7
2003-05-23,32.55
2003-05-27,32.63
2003-05-28,32.36
2003-05-29,32.08
2003-05-30,31.98
2003-06-02,31.59
2003-06-03,31.55
2003-06-04,31.73
2003-06-05,32.29
2003-06-06,32.33
2003-06-09,31.89
2003-06-10,32.43
2003-06-11,33.53
2003-06-12,33.29
2003-06-13,33.32
2003-06-16,34.46
2003-06-17,35.25
2003-06-18,35.76
2003-06-19,34.51
2003-06-20,34.58
2003-06-23,33.95
2003-06-24,34.36
2003-06-25,33.85
2003-06-26,34.39
2003-06-27,33.96
2003-06-30,33.63
2003-07-01,33.31
2003-07-02,33.82
2003-07-03,33.5
2003-07-07,34.05
2003-07-08,34.44
2003-07-09,34.77
2003-07-10,34.12
2003-07-11,34.66
2003-07-14,34.08
2003-07-15,33.63
2003-07-16,32.85
2003-07-17,33.31
2003-07-18,33.94
2003-07-21,33.85
2003-07-22,34.0
2003-07-23,34.93
2003-07-24,34.43
2003-07-25,34.96
2003-07-28,35.32
2003-07-29,35.33
2003-07-30,34.43
2003-07-31,32.92
2003-08-01,32.47
2003-08-04,32.37
2003-08-05,31.5
2003-08-06,29.82
2003-08-07,30.82
2003-08-08,31.18
2003-08-11,31.66
2003-08-12,31.82
2003-08-13,31.54
2003-08-14,31.74
2003-08-15,31.7
2003-08-18,31.93
2003-08-19,31.81
2003-08-20,31.43
2003-08-21,31.08
2003-08-22,30.84
2003-08-25,30.91
2003-08-26,31.23
2003-08-27,31.28
2003-08-28,31.35
2003-08-29,31.91
2003-09-02,32.31
2003-09-03,32.56
2003-09-04,32.04
2003-09-05,31.56
2003-09-08,31.96
2003-09-09,32.04
2003-09-10,32.11
2003-09-11,32.03
