ds,y
1999-08-17,34.72
1999-08-18,33.23
1999-08-19,32.79
1999-08-20,34.13
1999-08-23,37.5
1999-08-24,37.05
1999-08-25,34.42
1999-08-26,33.09
1999-08-27,31.35
1999-08-30,29.22
1999-08-31,29.96
1999-09-01,29.22
1999-09-02,29.71
1999-09-03,32.34
1999-09-07,30.7
1999-09-08,30.16
1999-09-09,30.85
1999-09-10,31.5
1999-09-13,32.04
1999-09-14,31.15
1999-09-15,30.9
1999-09-16,29.51
1999-09-17,30.41
1999-09-20,31.7
1999-09-21,30.75
1999-09-22,31.5
1999-09-23,31.35
1999-09-24,31.45
1999-09-27,31.35
1999-09-28,31.2
1999-09-29,31.5
1999-09-30,30.95
1999-10-01,30.61
1999-10-04,31.7
1999-10-05,33.43
1999-10-06,35.57
1999-10-07,35.91
1999-10-08,36.86
1999-10-11,36.61
1999-10-12,35.71
1999-10-13,34.33
1999-10-14,31.15
1999-10-15,28.57
1999-10-18,31.15
1999-10-19,31.35
1999-10-20,31.89
1999-10-21,32.84
1999-10-22,34.38
1999-10-25,33.78
1999-10-26,34.13
1999-10-27,36.71
1999-10-28,40.08
1999-10-29,42.06
1999-11-01,39.83
1999-11-02,40.48
1999-11-03,40.28
1999-11-04,41.02
1999-11-05,42.16
1999-11-08,39.63
1999-11-09,39.24
1999-11-10,36.11
1999-11-11,36.31
1999-11-12,40.18
1999-11-15,39.83
1999-11-16,41.14
1999-11-17,39.21
1999-11-18,39.6
1999-11-19,39.7
1999-11-22,38.16
1999-11-23,37.52
1999-11-24,37.37
1999-11-26,37.57
1999-11-29,36.43
1999-11-30,36.97
1999-12-01,36.85
1999-12-02,38.07
1999-12-03,40.3
1999-12-06,40.25
1999-12-07,39.06
1999-12-08,38.51
1999-12-09,38.31
1999-12-10,39.26
1999-12-13,39.65
1999-12-14,38.41
1999-12-15,37.27
1999-12-16,36.87
1999-12-17,36.92
1999-12-20,36.68
1999-12-21,36.63
1999-12-22,36.48
1999-12-23,36.63
1999-12-27,36.73
1999-12-28,37.02
1999-12-29,37.17
1999-12-30,37.87
1999-12-31,38.26
2000-01-03,36.68
2000-01-04,34.39
2000-01-05,33.6
2000-01-06,35.14
2000-01-07,36.13
2000-01-10,35.68
2000-01-11,34.54
2000-01-12,34.99
2000-01-13,35.88
2000-01-14,37.17
2000-01-18,33.75
2000-01-19,34.44
2000-01-20,33.65
2000-01-21,32.85
2000-01-24,32.66
2000-01-25,31.81
2000-01-26,33.3
2000-01-27,32.95
2000-01-28,31.81
2000-01-31,32.56
2000-02-01,31.91
2000-02-02,31.61
2000-02-03,31.07
2000-02-04,30.62
2000-02-07,30.15
2000-02-08,29.7
2000-02-09,27.81
2000-02-10,26.62
2000-02-11,26.72
2000-02-14,27.17
2000-02-15,29.45
2000-02-16,29.8
2000-02-17,29.2
2000-02-18,27.41
2000-02-22,26.97
2000-02-23,26.27
2000-02-24,27.51
2000-02-25,28.26
2000-02-28,30.1
2000-02-29,29.25
2000-03-01,29.95
2000-03-02,29.25
2000-03-03,30.15
2000-03-06,29.45
2000-03-07,27.56
2000-03-08,27.96
2000-03-09,29.15
2000-03-10,29.25
2000-03-13,30.0
2000-03-14,30.29
2000-03-15,32.48
2000-03-16,37.0
2000-03-17,36.4
2000-03-20,33.03
2000-03-21,34.96
2000-03-22,36.75
2000-03-23,36.4
2000-03-24,35.81
2000-03-27,35.36
2000-03-28,36.06
2000-03-29,35.96
2000-03-30,36.85
2000-03-31,38.09
2000-04-03,38.94
2000-04-04,37.0
2000-04-05,36.8
2000-04-06,37.25
2000-04-07,37.55
2000-04-10,38.24
2000-04-11,39.14
2000-04-12,39.93
2000-04-13,37.1
2000-04-14,34.07
2000-04-17,34.17
2000-04-18,35.81
2000-04-19,36.16
2000-04-20,37.6
2000-04-24,37.45
2000-04-25,38.84
2000-04-26,38.04
2000-04-27,36.65
2000-04-28,34.76
2000-05-01,35.76
2000-05-02,36.06
2000-05-03,33.72
2000-05-04,32.43
2000-05-05,31.69
2000-05-08,33.5
2000-05-09,33.3
2000-05-10,32.65
2000-05-11,34.49
2000-05-12,34.69
2000-05-15,35.56
2000-05-16,36.18
2000-05-17,34.99
2000-05-18,36.38
2000-05-19,34.99
2000-05-22,34.89
2000-05-23,35.63
2000-05-24,35.68
2000-05-25,35.98
2000-05-26,35.73
2000-05-30,36.73
2000-05-31,37.57
2000-06-01,38.69
2000-06-02,40.75
2000-06-05,40.06
2000-06-06,39.51
2000-06-07,40.01
2000-06-08,39.31
2000-06-09,38.71
2000-06-12,39.56
2000-06-13,40.11
2000-06-14,42.02
2000-06-15,39.96
2000-06-16,38.56
2000-06-19,37.87
2000-06-20,37.37
2000-06-21,36.78
2000-06-22,35.33
2000-06-23,34.94
2000-06-26,35.38
2000-06-27,36.38
2000-06-28,37.06
2000-06-29,36.58
2000-06-30,35.48
2000-07-03,36.08
2000-07-05,36.23
2000-07-06,38.17
2000-07-07,39.16
2000-07-10,39.36
2000-07-11,39.31
2000-07-12,39.36
2000-07-13,40.8
2000-07-14,40.55
2000-07-17,39.93
2000-07-18,41.7
2000-07-19,42.34
2000-07-20,44.13
2000-07-21,44.38
2000-07-24,42.89
2000-07-25,43.19
2000-07-26,42.34
2000-07-27,44.98
2000-07-28,45.17
2000-07-31,46.59
2000-08-01,45.77
2000-08-02,44.18
2000-08-03,44.83
2000-08-04,46.81
2000-08-07,46.44
2000-08-08,45.94
2000-08-09,44.9
2000-08-10,44.45
2000-08-11,45.1
2000-08-14,45.69
2000-08-15,43.45
2000-08-16,43.8
2000-08-17,44.13
2000-08-18,43.7
2000-08-21,44.95
2000-08-22,46.19
2000-08-23,46.19
2000-08-24,47.03
2000-08-25,46.34
2000-08-28,47.58
2000-08-29,47.83
2000-08-30,47.48
2000-08-31,47.99
2000-09-01,47.83
