ds,y
1999-08-17,5.36
1999-08-18,5.41
1999-08-19,5.36
1999-08-20,5.36
1999-08-23,5.41
1999-08-24,5.33
1999-08-25,5.4
1999-08-26,5.42
1999-08-27,5.37
1999-08-30,5.22
1999-08-31,5.25
1999-09-01,5.15
1999-09-02,5.25
1999-09-03,5.33
1999-09-07,5.37
1999-09-08,5.38
1999-09-09,5.36
1999-09-10,5.37
1999-09-13,5.46
1999-09-14,5.47
1999-09-15,5.46
1999-09-16,5.36
1999-09-17,5.49
1999-09-20,5.49
1999-09-21,5.52
1999-09-22,5.44
1999-09-23,5.3
1999-09-24,5.16
1999-09-27,5.21
1999-09-28,5.22
1999-09-29,5.1
1999-09-30,5.16
1999-10-01,5.15
1999-10-04,5.06
1999-10-05,5.05
1999-10-06,5.02
1999-10-07,4.94
1999-10-08,4.92
1999-10-11,4.97
1999-10-12,4.91
1999-10-13,4.84
1999-10-14,4.82
1999-10-15,4.7
1999-10-18,4.73
1999-10-19,4.73
1999-10-20,4.91
1999-10-21,4.81
1999-10-22,4.84
1999-10-25,4.75
1999-10-26,4.51
1999-10-27,4.81
1999-10-28,5.32
1999-10-29,5.56
1999-11-01,5.84
1999-11-02,5.79
1999-11-03,5.87
1999-11-04,6.14
1999-11-05,6.1
1999-11-08,6.11
1999-11-09,6.14
1999-11-10,5.95
1999-11-11,5.94
1999-11-12,5.95
1999-11-15,6.0
1999-11-16,6.03
1999-11-17,6.05
1999-11-18,6.15
1999-11-19,6.07
1999-11-22,6.13
1999-11-23,6.15
1999-11-24,6.0
1999-11-26,6.03
1999-11-29,6.03
1999-11-30,6.04
1999-12-01,6.2
1999-12-02,6.14
1999-12-03,6.1
1999-12-06,6.18
1999-12-07,6.21
1999-12-08,6.16
1999-12-09,6.18
1999-12-10,6.13
1999-12-13,6.19
1999-12-14,6.11
1999-12-15,6.03
1999-12-16,6.07
1999-12-17,5.85
1999-12-20,5.89
1999-12-21,5.9
1999-12-22,5.79
1999-12-23,5.8
1999-12-27,5.97
1999-12-28,5.93
1999-12-29,5.99
1999-12-30,6.03
1999-12-31,6.07
2000-01-03,5.95
2000-01-04,5.94
2000-01-05,5.89
2000-01-06,5.92
2000-01-07,6.15
2000-01-10,6.26
2000-01-11,6.25
2000-01-12,6.23
2000-01-13,6.46
2000-01-14,6.18
2000-01-18,6.29
2000-01-19,6.25
2000-01-20,6.29
2000-01-21,6.29
2000-01-24,6.3
2000-01-25,6.36
2000-01-26,7.14
2000-01-27,6.55
2000-01-28,6.67
2000-01-31,6.75
2000-02-01,6.65
2000-02-02,6.66
2000-02-03,6.83
2000-02-04,6.98
2000-02-07,7.03
2000-02-08,7.09
2000-02-09,7.17
2000-02-10,7.22
2000-02-11,7.01
2000-02-14,6.87
2000-02-15,6.92
2000-02-16,6.98
2000-02-17,7.01
2000-02-18,6.86
2000-02-22,7.0
2000-02-23,7.04
2000-02-24,6.96
2000-02-25,6.95
2000-02-28,6.77
2000-02-29,6.81
2000-03-01,7.12
2000-03-02,7.14
2000-03-03,7.32
2000-03-06,7.65
2000-03-07,7.32
2000-03-08,7.38
2000-03-09,7.45
2000-03-10,7.31
2000-03-13,7.28
2000-03-14,7.09
2000-03-15,7.18
2000-03-16,7.79
2000-03-17,7.88
2000-03-20,7.54
2000-03-21,7.09
2000-03-22,7.36
2000-03-23,7.29
2000-03-24,7.11
2000-03-27,7.03
2000-03-28,7.48
2000-03-29,7.34
2000-03-30,7.33
2000-03-31,7.89
2000-04-03,7.9
2000-04-04,7.62
2000-04-05,7.96
2000-04-06,8.22
2000-04-07,8.33
2000-04-10,8.24
2000-04-11,8.32
2000-04-12,8.36
2000-04-13,8.47
2000-04-14,8.83
2000-04-17,9.97
2000-04-18,11.11
