ds,y
1999-08-17,13.55
1999-08-18,13.36
1999-08-19,13.6
1999-08-20,13.52
1999-08-23,14.17
1999-08-24,13.81
1999-08-25,13.96
1999-08-26,13.69
1999-08-27,13.4
1999-08-30,12.88
1999-08-31,13.12
1999-09-01,12.97
1999-09-02,12.83
1999-09-03,13.05
1999-09-07,13.09
1999-09-08,13.0
1999-09-09,12.85
1999-09-10,12.95
1999-09-13,12.81
1999-09-14,12.4
1999-09-15,12.28
1999-09-16,12.5
1999-09-17,12.66
1999-09-20,12.4
1999-09-21,12.18
1999-09-22,12.01
1999-09-23,11.89
1999-09-24,11.82
1999-09-27,12.16
1999-09-28,12.28
1999-09-29,12.49
1999-09-30,12.54
1999-10-01,12.25
1999-10-04,12.68
1999-10-05,12.56
1999-10-06,12.71
1999-10-07,12.28
1999-10-08,12.16
1999-10-11,12.49
1999-10-12,12.25
1999-10-13,12.59
1999-10-14,12.73
1999-10-15,12.47
1999-10-18,12.49
1999-10-19,12.32
1999-10-20,12.76
1999-10-21,12.64
1999-10-22,12.73
1999-10-25,12.76
1999-10-26,12.71
1999-10-27,12.64
1999-10-28,12.83
1999-10-29,12.92
1999-11-01,12.85
1999-11-02,12.66
1999-11-03,12.76
1999-11-04,12.71
1999-11-05,12.71
1999-11-08,12.44
1999-11-09,12.4
1999-11-10,12.18
1999-11-11,12.73
1999-11-12,13.26
1999-11-15,13.72
1999-11-16,13.64
1999-11-17,12.85
1999-11-18,12.56
1999-11-19,12.37
1999-11-22,12.06
1999-11-23,12.18
1999-11-24,12.35
1999-11-26,12.16
1999-11-29,12.23
1999-11-30,12.49
1999-12-01,12.71
1999-12-02,12.33
1999-12-03,12.85
1999-12-06,12.66
1999-12-07,12.68
1999-12-08,12.59
1999-12-09,12.49
1999-12-10,12.42
1999-12-13,12.38
1999-12-14,12.47
1999-12-15,12.35
1999-12-16,12.13
1999-12-17,11.51
1999-12-20,11.75
1999-12-21,11.63
1999-12-22,11.49
1999-12-23,11.73
1999-12-27,12.01
1999-12-28,12.11
1999-12-29,11.67
1999-12-30,11.87
1999-12-31,12.13
2000-01-03,11.72
2000-01-04,11.65
2000-01-05,11.84
2000-01-06,12.01
2000-01-07,12.35
2000-01-10,12.99
2000-01-11,12.54
2000-01-12,12.66
2000-01-13,12.68
2000-01-14,12.59
2000-01-18,12.42
2000-01-19,12.49
2000-01-20,12.37
2000-01-21,12.32
2000-01-24,11.6
2000-01-25,11.89
2000-01-26,11.96
2000-01-27,12.01
2000-01-28,11.84
2000-01-31,11.94
2000-02-01,12.27
2000-02-02,12.08
2000-02-03,12.39
2000-02-04,13.02
2000-02-07,12.78
2000-02-08,12.87
2000-02-09,12.56
2000-02-10,12.32
2000-02-11,12.56
2000-02-14,12.39
2000-02-15,12.61
2000-02-16,12.56
2000-02-17,12.15
2000-02-18,11.82
2000-02-22,11.65
2000-02-23,11.41
2000-02-24,10.52
2000-02-25,10.71
2000-02-28,10.76
2000-02-29,10.59
2000-03-01,10.57
2000-03-02,10.52
2000-03-03,10.45
2000-03-06,10.26
2000-03-07,10.23
2000-03-08,10.33
2000-03-09,10.38
2000-03-10,10.35
2000-03-13,10.45
2000-03-14,10.54
2000-03-15,10.74
2000-03-16,12.15
2000-03-17,12.18
2000-03-20,11.77
2000-03-21,11.96
2000-03-22,11.79
2000-03-23,11.96
2000-03-24,11.53
2000-03-27,11.65
2000-03-28,11.7
2000-03-29,12.03
2000-03-30,11.96
2000-03-31,12.13
2000-04-03,12.42
2000-04-04,12.68
2000-04-05,12.51
2000-04-06,12.85
2000-04-07,12.37
2000-04-10,12.44
2000-04-11,12.63
2000-04-12,12.78
2000-04-13,12.2
2000-04-14,11.79
2000-04-17,11.48
2000-04-18,11.67
2000-04-19,11.74
2000-04-20,11.84
2000-04-24,11.96
2000-04-25,11.86
2000-04-26,12.18
2000-04-27,12.25
2000-04-28,12.32
2000-05-01,12.71
2000-05-02,12.75
2000-05-03,12.32
2000-05-04,12.44
2000-05-05,12.34
2000-05-08,12.49
2000-05-09,12.68
2000-05-10,12.99
2000-05-11,12.75
2000-05-12,13.38
2000-05-15,13.88
2000-05-16,14.08
2000-05-17,13.79
2000-05-18,13.79
2000-05-19,14.25
2000-05-22,13.93
2000-05-23,13.72
2000-05-24,14.2
2000-05-25,13.74
2000-05-26,13.69
2000-05-30,14.15
2000-05-31,13.96
2000-06-01,13.79
2000-06-02,13.88
2000-06-05,13.96
2000-06-06,14.01
2000-06-07,14.15
2000-06-08,14.2
2000-06-09,14.46
2000-06-12,14.06
2000-06-13,13.74
2000-06-14,13.91
2000-06-15,13.74
2000-06-16,13.43
2000-06-19,13.86
2000-06-20,13.5
2000-06-21,13.48
2000-06-22,13.4
2000-06-23,13.6
2000-06-26,13.6
2000-06-27,14.05
2000-06-28,13.9
2000-06-29,13.64
2000-06-30,13.91
2000-07-03,13.98
2000-07-05,14.17
2000-07-06,14.56
2000-07-07,15.02
2000-07-10,14.99
2000-07-11,15.45
2000-07-12,15.38
2000-07-13,15.23
2000-07-14,15.5
2000-07-17,15.67
2000-07-18,15.93
2000-07-19,15.67
2000-07-20,15.79
2000-07-21,15.96
2000-07-24,15.81
2000-07-25,15.91
2000-07-26,16.13
2000-07-27,16.2
2000-07-28,14.95
2000-07-31,15.33
2000-08-01,15.91
2000-08-02,15.69
2000-08-03,15.64
2000-08-04,15.89
2000-08-07,15.79
2000-08-08,15.38
2000-08-09,16.01
2000-08-10,15.72
2000-08-11,15.96
2000-08-14,15.35
2000-08-15,15.4
2000-08-16,14.85
2000-08-17,15.23
2000-08-18,14.95
2000-08-21,15.57
2000-08-22,15.23
2000-08-23,15.5
2000-08-24,15.11
2000-08-25,15.21
2000-08-28,14.82
2000-08-29,15.28
2000-08-30,14.99
2000-08-31,15.24
2000-09-01,15.07
2000-09-05,16.1
2000-09-06,15.52
2000-09-07,15.16
2000-09-08,14.9
2000-09-11,14.56
2000-09-12,14.49
2000-09-13,14.49
2000-09-14,14.22
2000-09-15,14.49
2000-09-18,14.29
2000-09-19,14.56
2000-09-20,14.51
2000-09-21,14.7
2000-09-22,14.99
2000-09-25,15.33
2000-09-26,14.32
2000-09-27,14.27
2000-09-28,14.37
2000-09-29,14.08
2000-10-02,13.74
2000-10-03,13.79
2000-10-04,13.79
2000-10-05,14.37
2000-10-06,13.86
2000-10-09,13.91
2000-10-10,14.39
2000-10-11,14.15
2000-10-12,13.86
2000-10-13,14.51
2000-10-16,14.17
2000-10-17,13.42
2000-10-18,13.74
2000-10-19,13.59
2000-10-20,13.47
2000-10-23,14.1
2000-10-24,14.41
2000-10-25,14.34
2000-10-26,13.86
2000-10-27,14.82
2000-10-30,14.73
2000-10-31,15.64
2000-11-01,15.28
2000-11-02,15.19
2000-11-03,15.33
2000-11-06,15.28
2000-11-07,15.21
2000-11-08,15.23
2000-11-09,15.4
2000-11-10,15.04
2000-11-13,15.5
2000-11-14,16.2
2000-11-15,15.74
2000-11-16,15.81
2000-11-17,16.2
2000-11-20,15.74
2000-11-21,16.13
2000-11-22,15.38
2000-11-24,15.72
2000-11-27,15.57
2000-11-28,15.84
2000-11-29,15.93
2000-11-30,16.01
2000-12-01,16.18
2000-12-04,15.98
2000-12-05,16.49
2000-12-06,16.42
2000-12-07,16.13
2000-12-08,16.32
2000-12-11,16.03
2000-12-12,16.35
2000-12-13,15.64
2000-12-14,15.96
2000-12-15,15.36
2000-12-18,15.86
2000-12-19,15.4
2000-12-20,15.77
2000-12-21,14.99
2000-12-22,15.33
2000-12-26,15.6
2000-12-27,15.79
2000-12-28,16.15
2000-12-29,16.35
2001-01-02,15.91
2001-01-03,17.29
2001-01-04,17.7
2001-01-05,17.36
2001-01-08,18.06
2001-01-09,18.01
2001-01-10,17.34
2001-01-11,17.24
2001-01-12,17.46
2001-01-16,17.68
2001-01-17,17.51
2001-01-18,17.55
2001-01-19,17.39
2001-01-22,17.53
2001-01-23,18.45
2001-01-24,18.04
2001-01-25,18.11
2001-01-26,17.89
2001-01-29,17.88
2001-01-30,17.87
2001-01-31,17.86
2001-02-01,17.79
2001-02-02,17.57
2001-02-05,17.41
2001-02-06,16.7
2001-02-07,17.09
2001-02-08,17.51
2001-02-09,17.14
2001-02-12,17.22
2001-02-13,17.31
2001-02-14,17.2
2001-02-15,17.16
2001-02-16,16.87
2001-02-20,16.54
2001-02-21,16.11
2001-02-22,15.83
2001-02-23,15.6
2001-02-26,16.06
2001-02-27,16.6
2001-02-28,16.51
2001-03-01,16.08
2001-03-02,15.87
2001-03-05,15.93
2001-03-06,15.86
2001-03-07,15.82
2001-03-08,15.99
2001-03-09,15.88
2001-03-12,15.09
2001-03-13,15.0
2001-03-14,15.01
2001-03-15,15.69
2001-03-16,15.85
2001-03-19,15.96
2001-03-20,16.44
2001-03-21,15.76
2001-03-22,15.47
2001-03-23,15.44
2001-03-26,15.56
2001-03-27,16.11
2001-03-28,15.89
2001-03-29,15.72
2001-03-30,15.95
2001-04-02,15.97
2001-04-03,15.31
2001-04-04,15.26
2001-04-05,15.42
2001-04-06,15.2
2001-04-09,15.15
2001-04-10,15.57
2001-04-11,15.61
2001-04-12,15.52
2001-04-16,14.92
2001-04-17,15.98
2001-04-18,17.29
2001-04-19,17.42
2001-04-20,17.28
2001-04-23,17.53
2001-04-24,17.19
2001-04-25,17.05
2001-04-26,16.77
2001-04-27,17.05
2001-04-30,17.78
2001-05-01,18.32
2001-05-02,18.61
2001-05-03,17.83
2001-05-04,17.78
2001-05-07,17.65
2001-05-08,17.22
2001-05-09,17.41
2001-05-10,17.49
2001-05-11,17.42
2001-05-14,17.54
2001-05-15,17.51
2001-05-16,18.23
2001-05-17,18.6
2001-05-18,18.55
2001-05-21,18.96
2001-05-22,19.25
2001-05-23,18.93
2001-05-24,18.91
2001-05-25,18.86
2001-05-29,19.12
2001-05-30,18.42
2001-05-31,18.35
2001-06-01,18.07
2001-06-04,18.01
2001-06-05,18.28
2001-06-06,18.07
2001-06-07,17.8
2001-06-08,17.6
2001-06-11,17.62
2001-06-12,17.41
2001-06-13,17.45
2001-06-14,17.37
2001-06-15,17.72
2001-06-18,17.68
2001-06-19,18.21
2001-06-20,18.19
2001-06-21,18.53
2001-06-22,18.27
2001-06-25,18.19
2001-06-26,17.87
2001-06-27,18.04
2001-06-28,18.14
2001-06-29,18.37
2001-07-02,18.86
2001-07-03,18.86
2001-07-05,18.62
2001-07-06,18.16
2001-07-09,18.23
2001-07-10,18.28
2001-07-11,17.75
2001-07-12,18.53
2001-07-13,18.91
2001-07-16,19.02
2001-07-17,19.19
2001-07-18,19.08
2001-07-19,19.0
2001-07-20,18.61
2001-07-23,18.41
2001-07-24,18.18
2001-07-25,18.8
2001-07-26,18.91
2001-07-27,18.63
2001-07-30,18.59
2001-07-31,18.53
2001-08-01,18.82
2001-08-02,18.99
2001-08-03,18.93
2001-08-06,18.72
2001-08-07,18.64
2001-08-08,18.53
2001-08-09,18.49
2001-08-10,18.53
2001-08-13,18.43
2001-08-14,18.46
2001-08-15,18.15
2001-08-16,18.1
2001-08-17,17.91
2001-08-20,17.99
2001-08-21,17.85
2001-08-22,17.87
2001-08-23,18.01
2001-08-24,18.37
2001-08-27,18.2
2001-08-28,17.84
2001-08-29,17.59
2001-08-30,16.83
2001-08-31,17.01
2001-09-04,17.05
2001-09-05,16.95
2001-09-06,16.04
2001-09-07,15.91
2001-09-10,15.85
2001-09-17,12.51
2001-09-18,11.95
2001-09-19,11.83
2001-09-20,11.23
2001-09-21,11.64
2001-09-24,11.89
2001-09-25,12.07
2001-09-26,12.4
2001-09-27,12.66
2001-09-28,12.99
2001-10-01,12.54
2001-10-02,12.38
2001-10-03,13.02
2001-10-04,12.48
2001-10-05,12.87
2001-10-08,12.44
2001-10-09,12.01
2001-10-10,12.39
2001-10-11,13.12
2001-10-12,13.02
2001-10-15,12.97
2001-10-16,13.26
2001-10-17,12.95
2001-10-18,12.44
2001-10-19,12.5
2001-10-22,12.69
2001-10-23,12.74
2001-10-24,12.36
2001-10-25,12.9
2001-10-26,12.9
2001-10-29,12.52
2001-10-30,11.94
2001-10-31,12.18
2001-11-01,12.43
2001-11-02,12.5
2001-11-05,12.64
2001-11-06,12.64
2001-11-07,13.12
2001-11-08,13.41
2001-11-09,13.22
2001-11-12,12.64
2001-11-13,13.41
2001-11-14,14.0
2001-11-15,14.27
2001-11-16,14.39
2001-11-19,14.29
2001-11-20,14.11
2001-11-21,13.77
2001-11-23,14.06
2001-11-26,14.27
2001-11-27,14.42
2001-11-28,14.25
2001-11-29,14.27
2001-11-30,14.63
2001-12-03,14.74
2001-12-04,14.95
2001-12-05,15.79
2001-12-06,15.85
2001-12-07,15.63
2001-12-10,15.41
2001-12-11,15.47
2001-12-12,15.03
2001-12-13,14.99
2001-12-14,15.05
2001-12-17,14.81
2001-12-18,15.11
2001-12-19,15.11
2001-12-20,15.42
2001-12-21,15.51
2001-12-24,15.4
2001-12-26,15.77
2001-12-27,15.97
2001-12-28,16.02
2001-12-31,15.83
2002-01-02,15.58
2002-01-03,15.7
2002-01-04,16.08
2002-01-07,16.2
2002-01-08,15.96
2002-01-09,15.85
2002-01-10,15.84
2002-01-11,15.6
2002-01-14,15.35
2002-01-15,15.25
2002-01-16,15.12
2002-01-17,15.38
2002-01-18,15.43
2002-01-22,15.1
2002-01-23,14.89
2002-01-24,15.13
2002-01-25,15.23
2002-01-28,15.33
2002-01-29,15.57
2002-01-30,15.39
2002-01-31,15.88
2002-02-01,15.77
2002-02-04,15.39
2002-02-05,15.66
2002-02-06,15.23
2002-02-07,15.13
2002-02-08,15.0
2002-02-11,14.6
2002-02-12,14.37
2002-02-13,15.33
2002-02-14,15.05
2002-02-15,14.8
2002-02-19,14.63
2002-02-20,15.22
2002-02-21,14.85
2002-02-22,14.84
2002-02-25,14.89
2002-02-26,15.05
2002-02-27,14.9
2002-02-28,15.37
2002-03-01,16.11
2002-03-04,16.56
2002-03-05,16.78
2002-03-06,16.92
2002-03-07,16.94
2002-03-08,17.05
2002-03-11,16.9
2002-03-12,17.13
2002-03-13,16.98
2002-03-14,16.93
2002-03-15,16.94
2002-03-18,17.29
2002-03-19,17.67
2002-03-20,17.59
2002-03-21,17.35
2002-03-22,17.33
2002-03-25,17.08
2002-03-26,17.01
2002-03-27,17.18
2002-03-28,17.5
2002-04-01,17.37
2002-04-02,17.21
2002-04-03,16.96
2002-04-04,17.04
2002-04-05,17.21
2002-04-08,17.19
2002-04-09,17.5
2002-04-10,17.67
2002-04-11,17.43
2002-04-12,17.57
2002-04-15,17.55
2002-04-16,17.39
2002-04-17,17.49
2002-04-18,17.59
2002-04-19,17.69
2002-04-22,17.63
2002-04-23,17.74
2002-04-24,18.07
2002-04-25,17.89
2002-04-26,17.78
2002-04-29,17.31
2002-04-30,17.14
2002-05-01,17.17
2002-05-02,17.15
2002-05-03,16.75
2002-05-06,16.13
2002-05-07,16.13
2002-05-08,16.09
2002-05-09,15.85
2002-05-10,15.44
2002-05-13,15.73
2002-05-14,16.15
2002-05-15,16.66
2002-05-16,16.66
2002-05-17,16.47
2002-05-20,16.18
2002-05-21,15.67
2002-05-22,15.39
2002-05-23,15.48
2002-05-24,15.64
2002-05-28,15.19
2002-05-29,15.41
2002-05-30,15.39
2002-05-31,15.77
2002-06-03,15.39
2002-06-04,15.17
2002-06-05,15.41
2002-06-06,15.14
2002-06-07,15.29
2002-06-10,15.58
2002-06-11,15.5
2002-06-12,15.12
2002-06-13,14.98
2002-06-14,14.86
2002-06-17,15.54
2002-06-18,15.34
2002-06-19,15.3
2002-06-20,15.33
2002-06-21,15.5
2002-06-24,15.32
2002-06-25,15.16
2002-06-26,15.06
2002-06-27,15.12
2002-06-28,14.87
2002-07-01,14.38
2002-07-02,13.99
2002-07-03,14.02
2002-07-05,14.8
2002-07-08,14.52
2002-07-09,14.06
2002-07-10,13.58
2002-07-11,14.19
2002-07-12,14.34
2002-07-15,14.38
2002-07-16,14.01
2002-07-17,13.96
2002-07-18,13.67
2002-07-19,13.23
2002-07-22,13.09
2002-07-23,12.63
2002-07-24,13.42
2002-07-25,12.61
2002-07-26,12.76
2002-07-29,13.76
2002-07-30,13.54
2002-07-31,13.09
2002-08-01,12.93
2002-08-02,12.29
2002-08-05,11.96
2002-08-06,12.37
2002-08-07,12.38
2002-08-08,12.87
2002-08-09,12.73
2002-08-12,12.86
2002-08-13,12.58
2002-08-14,12.37
2002-08-15,12.89
2002-08-16,12.6
2002-08-19,13.03
2002-08-20,12.99
2002-08-21,12.7
2002-08-22,13.3
2002-08-23,13.35
2002-08-26,13.4
2002-08-27,13.24
2002-08-28,13.05
2002-08-29,12.95
2002-08-30,12.79
2002-09-03,12.4
2002-09-04,12.6
2002-09-05,12.59
2002-09-06,12.9
2002-09-09,12.89
2002-09-10,12.98
2002-09-11,12.67
2002-09-12,12.21
2002-09-13,12.19
2002-09-16,12.35
2002-09-17,12.21
2002-09-18,11.92
2002-09-19,11.14
2002-09-20,11.17
