ds,y
1999-08-17,21.6
1999-08-18,21.44
1999-08-19,21.64
1999-08-20,21.68
1999-08-23,22.25
1999-08-24,22.84
1999-08-25,22.2
1999-08-26,21.66
1999-08-27,21.33
1999-08-30,20.89
1999-08-31,20.22
1999-09-01,20.37
1999-09-02,19.8
1999-09-03,19.93
1999-09-07,19.6
1999-09-08,19.93
1999-09-09,20.0
1999-09-10,20.06
1999-09-13,20.63
1999-09-14,20.0
1999-09-15,19.74
1999-09-16,19.36
1999-09-17,19.54
1999-09-20,19.63
1999-09-21,19.32
1999-09-22,19.41
1999-09-23,19.34
1999-09-24,19.56
1999-09-27,19.82
1999-09-28,20.74
1999-09-29,20.41
1999-09-30,21.0
1999-10-01,21.83
1999-10-04,22.27
1999-10-05,22.45
1999-10-06,22.73
1999-10-07,22.73
1999-10-08,24.02
1999-10-11,24.3
1999-10-12,23.52
1999-10-13,22.75
1999-10-14,22.86
1999-10-15,22.49
1999-10-18,22.75
1999-10-19,22.73
1999-10-20,23.06
1999-10-21,22.88
1999-10-22,23.25
1999-10-25,23.01
1999-10-26,21.35
1999-10-27,21.75
1999-10-28,22.29
1999-10-29,22.6
1999-11-01,22.23
1999-11-02,22.27
1999-11-03,22.12
1999-11-04,22.36
1999-11-05,22.86
1999-11-08,21.99
1999-11-09,21.66
1999-11-10,21.33
1999-11-11,21.44
1999-11-12,21.46
1999-11-15,21.68
1999-11-16,21.24
1999-11-17,21.83
1999-11-18,22.29
1999-11-19,22.61
1999-11-22,22.57
1999-11-23,23.36
1999-11-24,23.31
1999-11-26,23.38
1999-11-29,24.87
1999-11-30,24.72
1999-12-01,24.28
1999-12-02,23.93
1999-12-03,23.8
1999-12-06,23.47
1999-12-07,23.34
1999-12-08,23.42
1999-12-09,23.12
1999-12-10,23.73
1999-12-13,23.99
1999-12-14,24.96
1999-12-15,25.94
1999-12-16,26.14
1999-12-17,25.79
1999-12-20,25.4
1999-12-21,24.78
1999-12-22,25.77
1999-12-23,26.27
1999-12-27,26.09
1999-12-28,26.01
1999-12-29,25.5
1999-12-30,25.85
1999-12-31,25.72
2000-01-03,25.24
2000-01-04,24.15
2000-01-05,23.6
2000-01-06,22.48
2000-01-07,23.64
2000-01-10,23.18
2000-01-11,23.88
2000-01-12,23.62
2000-01-13,24.17
2000-01-14,24.26
2000-01-18,23.82
2000-01-19,24.5
2000-01-20,23.71
2000-01-21,22.7
2000-01-24,22.24
2000-01-25,22.81
2000-01-26,23.86
2000-01-27,23.58
2000-01-28,22.2
2000-01-31,23.07
2000-02-01,23.62
2000-02-02,23.82
2000-02-03,23.14
2000-02-04,22.64
2000-02-07,23.01
2000-02-08,24.06
2000-02-09,23.53
2000-02-10,23.27
2000-02-11,23.14
2000-02-14,22.85
2000-02-15,22.39
2000-02-16,21.68
2000-02-17,21.0
2000-02-18,20.7
2000-02-22,20.26
2000-02-23,19.93
2000-02-24,19.6
2000-02-25,19.6
2000-02-28,20.65
2000-02-29,20.7
2000-03-01,20.79
2000-03-02,21.14
2000-03-03,21.66
2000-03-06,21.31
2000-03-07,20.35
2000-03-08,20.41
2000-03-09,21.07
2000-03-10,21.33
2000-03-13,21.55
2000-03-14,21.38
2000-03-15,22.45
2000-03-16,24.95
2000-03-17,24.38
2000-03-20,23.29
2000-03-21,23.48
2000-03-22,23.39
2000-03-23,23.86
2000-03-24,24.25
2000-03-27,24.01
2000-03-28,24.16
2000-03-29,25.48
2000-03-30,27.08
2000-03-31,26.22
2000-04-03,27.01
2000-04-04,26.42
2000-04-05,26.03
2000-04-06,25.96
2000-04-07,26.05
2000-04-10,26.38
2000-04-11,25.57
2000-04-12,25.37
2000-04-13,24.78
2000-04-14,23.96
2000-04-17,22.91
2000-04-18,24.34
2000-04-19,24.03
2000-04-20,24.29
2000-04-24,24.64
2000-04-25,25.08
2000-04-26,24.84
2000-04-27,23.86
2000-04-28,23.35
2000-05-01,23.94
2000-05-02,24.16
2000-05-03,22.36
2000-05-04,23.2
2000-05-05,23.88
2000-05-08,23.94
2000-05-09,24.36
2000-05-10,24.69
2000-05-11,24.51
2000-05-12,24.66
2000-05-15,24.91
2000-05-16,25.06
2000-05-17,24.46
2000-05-18,24.91
2000-05-19,24.66
2000-05-22,24.64
2000-05-23,23.54
2000-05-24,22.66
2000-05-25,22.81
2000-05-26,22.64
2000-05-30,21.71
2000-05-31,22.02
2000-06-01,22.13
2000-06-02,23.19
2000-06-05,22.59
2000-06-06,20.22
2000-06-07,20.97
2000-06-08,20.99
2000-06-09,19.76
2000-06-12,19.15
2000-06-13,19.89
2000-06-14,20.38
2000-06-15,21.1
2000-06-16,20.55
2000-06-19,20.09
2000-06-20,19.32
2000-06-21,18.42
2000-06-22,18.84
2000-06-23,18.99
2000-06-26,19.48
2000-06-27,19.61
2000-06-28,19.21
2000-06-29,19.5
2000-06-30,20.38
2000-07-03,20.31
2000-07-05,20.27
2000-07-06,19.83
2000-07-07,20.68
2000-07-10,21.5
2000-07-11,22.13
2000-07-12,22.07
2000-07-13,21.82
2000-07-14,21.82
2000-07-17,21.4
2000-07-18,20.84
2000-07-19,20.75
2000-07-20,21.43
2000-07-21,21.03
2000-07-24,20.6
2000-07-25,21.17
2000-07-26,21.96
2000-07-27,21.91
2000-07-28,21.39
2000-07-31,20.38
2000-08-01,20.38
2000-08-02,21.43
2000-08-03,21.12
2000-08-04,20.86
2000-08-07,21.87
2000-08-08,22.4
2000-08-09,21.78
2000-08-10,20.9
2000-08-11,20.81
2000-08-14,21.03
2000-08-15,18.97
2000-08-16,18.57
2000-08-17,18.35
2000-08-18,18.66
2000-08-21,18.48
2000-08-22,19.36
2000-08-23,18.97
2000-08-24,19.14
2000-08-25,19.14
2000-08-28,18.79
2000-08-29,18.61
2000-08-30,18.35
2000-08-31,16.32
2000-09-01,17.34
2000-09-05,17.6
2000-09-06,17.64
2000-09-07,17.47
2000-09-08,17.51
2000-09-11,18.57
2000-09-12,18.88
2000-09-13,18.66
2000-09-14,19.71
2000-09-15,19.05
2000-09-18,18.48
2000-09-19,18.08
2000-09-20,18.13
2000-09-21,17.95
2000-09-22,18.61
2000-09-25,18.22
2000-09-26,17.57
2000-09-27,17.47
2000-09-28,17.78
2000-09-29,18.04
2000-10-02,17.6
2000-10-03,17.69
2000-10-04,17.95
2000-10-05,18.26
2000-10-06,17.16
2000-10-09,17.25
2000-10-10,16.94
2000-10-11,16.46
2000-10-12,16.02
2000-10-13,16.94
2000-10-16,17.16
2000-10-17,16.68
2000-10-18,16.9
2000-10-19,18.26
2000-10-20,17.69
2000-10-23,17.42
2000-10-24,17.47
2000-10-25,17.07
2000-10-26,17.07
2000-10-27,17.2
2000-10-30,17.95
2000-10-31,19.45
2000-11-01,19.41
2000-11-02,19.98
2000-11-03,19.36
2000-11-06,19.41
2000-11-07,19.98
2000-11-08,21.21
2000-11-09,19.27
2000-11-10,18.26
2000-11-13,18.44
2000-11-14,19.85
2000-11-15,20.33
2000-11-16,20.41
2000-11-17,20.72
2000-11-20,20.24
2000-11-21,20.37
2000-11-22,20.54
2000-11-24,20.06
2000-11-27,20.46
2000-11-28,20.46
2000-11-29,21.25
2000-11-30,21.21
2000-12-01,22.18
2000-12-04,23.19
