ds,y
2016-10-31,70.38
2016-11-01,69.61
2016-11-02,69.02
2016-11-03,68.74
2016-11-04,69.48
2016-11-07,71.14
2016-11-08,69.24
2016-11-09,72.91
2016-11-10,75.71
2016-11-11,77.39
2016-11-14,80.04
2016-11-15,78.5
2016-11-16,76.65
2016-11-17,77.93
2016-11-18,78.36
2016-11-21,79.51
2016-11-22,78.92
2016-11-23,80.86
2016-11-25,80.81
2016-11-28,79.54
2016-11-29,78.93
2016-11-30,80.3
2016-12-01,82.76
2016-12-02,82.18
2016-12-05,82.85
2016-12-06,83.93
2016-12-07,85.6
2016-12-08,86.58
2016-12-09,86.43
2016-12-12,85.44
2016-12-13,85.47
2016-12-14,84.99
2016-12-15,86.34
2016-12-16,85.68
2016-12-19,86.04
2016-12-20,86.59
2016-12-21,86.42
2016-12-22,85.22
2016-12-23,85.69
2016-12-27,85.77
2016-12-28,84.27
2016-12-29,83.24
2016-12-30,83.36
2017-01-03,84.92
2017-01-04,86.28
2017-01-05,84.45
2017-01-06,84.66
2017-01-09,83.55
2017-01-10,85.02
2017-01-11,85.18
2017-01-12,83.98
2017-01-13,84.9
2017-01-17,82.53
2017-01-18,83.4
2017-01-19,82.86
2017-01-20,83.46
2017-01-23,83.01
2017-01-24,84.78
2017-01-25,84.45
2017-01-26,85.72
2017-01-27,85.19
2017-01-30,84.86
2017-01-31,83.5
2017-02-01,83.62
2017-02-02,82.5
2017-02-03,84.01
2017-02-06,83.72
2017-02-07,84.19
2017-02-08,83.65
2017-02-09,84.98
2017-02-10,84.85
2017-02-13,85.45
2017-02-14,86.56
2017-02-15,87.28
2017-02-16,86.88
2017-02-17,88.12
2017-02-21,89.12
2017-02-22,89.16
2017-02-23,89.66
2017-02-24,88.89
2017-02-27,89.9
2017-02-28,90.09
2017-03-01,92.26
2017-03-02,90.54
2017-03-03,90.17
2017-03-06,89.27
2017-03-07,89.09
2017-03-08,88.69
2017-03-09,88.41
2017-03-10,88.49
2017-03-13,88.1
2017-03-14,88.07
2017-03-15,86.31
2017-03-16,86.59
2017-03-17,84.69
2017-03-20,83.3
2017-03-21,80.29
2017-03-22,80.32
2017-03-23,80.42
2017-03-24,80.44
2017-03-27,78.83
2017-03-28,80.79
2017-03-29,81.28
2017-03-30,83.64
2017-03-31,83.18
2017-04-03,82.35
2017-04-04,81.84
2017-04-05,80.75
2017-04-06,80.85
2017-04-07,80.19
2017-04-10,79.45
2017-04-11,79.75
2017-04-12,79.11
2017-04-13,77.77
2017-04-17,79.67
2017-04-18,78.61
2017-04-19,78.62
2017-04-20,80.36
2017-04-21,79.35
2017-04-24,81.28
2017-04-25,82.14
2017-04-26,79.72
2017-04-27,79.0
2017-04-28,77.15
2017-05-01,78.29
2017-05-02,79.15
2017-05-03,79.18
2017-05-04,79.18
2017-05-05,78.97
2017-05-08,78.82
2017-05-09,79.01
2017-05-10,78.39
2017-05-11,77.33
2017-05-12,76.59
2017-05-15,78.28
2017-05-16,77.84
2017-05-17,75.69
2017-05-18,76.47
2017-05-19,77.43
2017-05-22,76.81
2017-05-23,77.5
2017-05-24,77.09
2017-05-25,76.7
2017-05-26,76.97
2017-05-30,75.51
2017-05-31,74.2
2017-06-01,75.16
2017-06-02,75.28
2017-06-05,75.56
2017-06-06,75.5
2017-06-07,76.11
2017-06-08,76.61
2017-06-09,77.24
2017-06-12,77.33
2017-06-13,77.72
2017-06-14,77.26
2017-06-15,78.47
2017-06-16,78.43
2017-06-19,78.84
2017-06-20,78.35
2017-06-21,78.02
